title,company,location,salary,description,url,date_posted,job_id
Data Analyst,St.Hua Private School,Singapore 600131,N/A,Familiarity with Power BI and/or Tableau fordatavisualization purposes.Develop informativedatavisualizations and interactive dashboards for effective…,https://sg.indeed.com/rc/clk?jk=929e82fb3ce34a3a&bb=ElwOxAB0sjD_ForjS9x358JfhbNpG4tWazR3GCwgS6rFj35-SlVSfM7wySKcS_9GNs7JObyWw0Y7P40VFUkg-X9v52zVXp5owR5XiNos6FnozAUoou2qoNTjH5shh7OT&xkcb=SoDB67M31973aGTHYR0LbzkdCdPP&fccid=258edb988c3c3980&vjs=3,Not specified,929e82fb3ce34a3a
Data Analyst (Marketing Analytics),NTUC Fairprice Co-operative Ltd,Singapore,N/A,Drive transformational change within the organisation towards customer-centricity anddatadriven decision making.,https://sg.indeed.com/rc/clk?jk=c6e75cad37d566da&bb=ElwOxAB0sjD_ForjS9x352BqlD-7-XWLgDoQ0i2PItplg2jUWu_8EcjkbOwtDZ-7isBoDf4cVXvXjS8LTHcn4MgEwslelqcUWysPH5N27WhMrHsbd5rDWhIS70gwDY8P&xkcb=SoB167M31973aGTHYR0KbzkdCdPP&fccid=bdf40e86ee1c8621&vjs=3,Not specified,c6e75cad37d566da
Business & Data Analyst,SWAT Mobility Pte. Ltd.,Singapore,N/A,Create & maintaindataprocessing pipelines to facilitate business intelligence tasks such as dashboard design and implementation.,https://sg.indeed.com/rc/clk?jk=b60a78cb0b4b7b57&bb=ElwOxAB0sjD_ForjS9x352zI63YHL0R67LJ1yZPG1WNsMrBFUaeCa_ZZVfgrdq851Phjk_A6AovUxcQX6HwA7v8HUDZXDYOBf9tkNxNY2IHFuAYMpx0kae-VjeXmWb72&xkcb=SoDo67M31973aGTHYR0JbzkdCdPP&fccid=81d0cdcd2f844676&vjs=3,Not specified,b60a78cb0b4b7b57
Data Analyst,Crown DIgital,Singapore,N/A,Excellent knowledge ofdataanalysis techniques.Supportdataquality assurance and optimize performance.Experience with IoTdatais a plus.,https://sg.indeed.com/rc/clk?jk=b398db04b4d255ed&bb=ElwOxAB0sjD_ForjS9x352FcY-YlE2vBXlaN6nUCYxUfNkeieHFt7DxguifNTDnKHeXFVuMgE3GBqVu6USf6wMvrkDuzcdVY6gGBqv2Sr8LM2_meTtoOLSpunVa5AOF3&xkcb=SoBc67M31973aGTHYR0IbzkdCdPP&fccid=20b5ba89f4fe2b5b&vjs=3,Not specified,b398db04b4d255ed
Data Analyst,User Experience Researchers Pte Ltd,Singapore,"$5,000 - $9,000 a month",Develop and maintaindatamodels and schemas to structuredatain a developer-friendly format.Continuously improvedatahandling processes and integrate…,https://sg.indeed.com/rc/clk?jk=ecd61ee7d107d4e5&bb=ElwOxAB0sjD_ForjS9x35xGoEdBcvaOyOLfjHssP9xbOeT_SdolZrd4DaUKBj_CpT5_lCpJ-gEu3SpITh8hiYpd8ZY9_BUCjrccncBt_hz1HWyrsZi_Tzuh9ptZDEep0&xkcb=SoDS67M31973aGTHYR0PbzkdCdPP&fccid=878eade42e62ba28&cmp=User-Experience-Researchers-Pte-Ltd&ti=Data+Analyst&vjs=3,Not specified,ecd61ee7d107d4e5
Data Analyst,Overmind,Remote,N/A,Mastery of SQL anddataanalysis.You will be responsible for managing the company’s user acquisition and retention funnels.Love for BI and dashboards.,https://sg.indeed.com/rc/clk?jk=ae0227f77bd7245d&bb=ElwOxAB0sjD_ForjS9x357h3p-honG86q4yEoEel3JEaHVK3_pHtpoXfq1gqm4r8veOL7h0je2Cux0csmWX-F72FyC2cJbUu2tNdkYDZyeUOz4_1wTBWAitqyFznIKjn&xkcb=SoBm67M31973aGTHYR0ObzkdCdPP&fccid=5a16eee79c3d59ba&vjs=3,Not specified,ae0227f77bd7245d
Business/Data Analyst (Python & Microsoft Fabric),Rapsys Technologies,Singapore,"$5,000 - $7,000 a month","Develop and enhancedatasolutions using advanced-level Python programming.Work with Microsoft Fabric fordataintegration, transformation, and analytics.",https://sg.indeed.com/rc/clk?jk=1eba326039af3d9a&bb=ElwOxAB0sjD_ForjS9x352XJkBIF0F053u4D1MtqU_t7px-_DzBqyXOV3XL6nN59qq0Lr4uait6BUKD_rqunE6E-7u0xzW4_vCUZY85OmVbKIMtoTKhUNjUfCJU02Lxi&xkcb=SoD767M31973aGTHYR0NbzkdCdPP&fccid=2ee7e763025b1d5d&cmp=Rapsys-Technologies-Pte.-Ltd&ti=Data+Analyst&vjs=3,Not specified,1eba326039af3d9a
Data Analyst (Internship),Infosys Singapore & Australia,Singapore,N/A,Compile and analyzedatarelated to business issues.Develop clear visualizations to convey complicateddatain a straightforward fashion.,https://sg.indeed.com/rc/clk?jk=7fb4ead9a6610e1b&bb=ElwOxAB0sjD_ForjS9x352gAjZtVwlc-YYJpU1Zc5vHg4qPDjv8t84WtwmJBo8RN1H9szLYbx6FS5vZ2o0Ias6H0qO8ybs-gs_pCadjbKyxOdQCSAB-gW5LYEjYxkUUE&xkcb=SoBP67M31973aGTHYR0MbzkdCdPP&fccid=c67533a523c83a4c&vjs=3,Not specified,7fb4ead9a6610e1b
Data Analyst Intern,Privyr,Singapore,N/A,"EnhanceDataSystems: Help build and optimize ourdataanalysis tools and frameworks, including Metabase fordatavisualization.",https://sg.indeed.com/rc/clk?jk=4b647fb44509c833&bb=ElwOxAB0sjD_ForjS9x359aYNXqybM9hAhCwYJusNTaIRqIgJnUa-kQykTKzcwToGPghuIoZ7KG9ilbXphsIuzsNhagV6Q6-T9wla_rVhGsEAw9-oRffZ5ELCCarrYkE&xkcb=SoCm67M31973aGTHYR0DbzkdCdPP&fccid=ee4e081db8f83d76&vjs=3,Not specified,4b647fb44509c833
Data & Insights Analyst,Agensi Perkerjaan BGC Group (Malaysia) Sdn Bhd,Singapore 168730,"$4,000 - $12,000 a month","Ability to translate complexdatainto understandable insights.Strong background indataanalytics (SQL, Python, or R).Job Types: Full-time, Permanent.",https://sg.indeed.com/rc/clk?jk=4abce2973f417139&bb=ElwOxAB0sjD_ForjS9x35yZI_GFhQQYRq7IRz7kJDio9I2_2OP3oT6ZNZpCi0V6u1lNgRVwbvIy0aT-qX9TnDS8XBevXbhhQrO9dcOdItf7MsVWnVYuTzLHd0ELT3ETM&xkcb=SoAS67M31973aGTHYR0CbzkdCdPP&fccid=0f75d43c25173602&cmp=Agensi-Perkerjaan-BGC-Group-%28Malaysia%29-Sdn-Bhd&ti=Data+Analyst&vjs=3,Not specified,4abce2973f417139
